Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR
2024,37,2024-05-11,,0.0,4.0,ManchesterCity,A
2024,37,2024-05-11,TottenhamHotspur,2.0,1.0,,H
2024,37,2024-05-11,NewcastleUnited,1.0,1.0,,D
2024,37,2024-05-11,,2.0,3.0,Chelsea,A
2024,37,2024-05-11,WestHamUnited,3.0,1.0,,H
2024,37,2024-05-11,,1.0,1.0,BrightonandHoveAlbion,D
2024,37,2024-05-11,Bournemouth,1.0,2.0,,A
2024,37,2024-05-11,,1.0,3.0,CrystalPalace,A
2024,37,2024-05-11,WolverhamptonWanderers,1.0,3.0,,A
2024,37,2024-05-11,Fulham,0.0,4.0,,A
2024,37,2024-05-11,Everton,1.0,0.0,,H
2024,37,2024-05-11,,1.0,2.0,Brentford,A
2024,37,2024-05-11,NottinghamForest,2.0,3.0,,A
2024,37,2024-05-11,,3.0,1.0,LutonTown,H
2024,37,2024-05-11,,2.0,1.0,Burnley,H
2024,37,2024-05-11,,1.0,0.0,SheffieldUnited,H
2024,36,2024-05-06,,4.0,0.0,ManchesterUnited,H
2024,36,2024-05-06,CrystalPalace,4.0,0.0,,H
2024,36,2024-05-05,Liverpool,4.0,2.0,,H
2024,36,2024-05-05,,1.0,0.0,AstonVilla,H
2024,36,2024-05-05,,4.0,2.0,TottenhamHotspur,H
2024,36,2024-05-05,Chelsea,5.0,0.0,,H
2024,36,2024-05-05,,5.0,0.0,WestHamUnited,H
2024,36,2024-05-05,BrightonandHoveAlbion,1.0,0.0,,H
2024,36,2024-05-04,ManchesterCity,5.0,1.0,,H
2024,36,2024-05-04,Arsenal,3.0,0.0,,H
2024,36,2024-05-04,,1.0,4.0,NewcastleUnited,A
2024,36,2024-05-04,,3.0,0.0,Bournemouth,H
2024,36,2024-05-04,,5.0,1.0,WolverhamptonWanderers,H
2024,36,2024-05-04,,0.0,0.0,Fulham,D
2024,36,2024-05-04,Brentford,0.0,0.0,,D
2024,36,2024-05-04,,1.0,3.0,NottinghamForest,A
2024,36,2024-05-04,Burnley,1.0,4.0,,A
2024,36,2024-05-04,SheffieldUnited,1.0,3.0,,A
2024,36,2024-05-03,,1.0,1.0,Everton,D
2024,36,2024-05-03,LutonTown,1.0,1.0,,D
2024,26,2024-05-02,,2.0,0.0,TottenhamHotspur,H
2024,26,2024-05-02,Chelsea,2.0,0.0,,H
2024,35,2024-04-28,,0.0,2.0,ManchesterCity,A
2024,35,2024-04-28,,2.0,3.0,Arsenal,A
2024,35,2024-04-28,TottenhamHotspur,2.0,3.0,,A
2024,35,2024-04-28,,3.0,0.0,BrightonandHoveAlbion,H
2024,35,2024-04-28,Bournemouth,3.0,0.0,,H
2024,35,2024-04-28,NottinghamForest,0.0,2.0,,A
2024,35,2024-04-27,,2.0,2.0,Liverpool,D
2024,35,2024-04-27,AstonVilla,2.0,2.0,,D
2024,35,2024-04-27,NewcastleUnited,5.0,1.0,,H
2024,35,2024-04-27,,2.0,2.0,Chelsea,D
2024,35,2024-04-27,ManchesterUnited,1.0,1.0,,D
2024,35,2024-04-27,WestHamUnited,2.0,2.0,,D
2024,35,2024-04-27,,1.0,1.0,CrystalPalace,D
2024,35,2024-04-27,WolverhamptonWanderers,2.0,1.0,,H
2024,35,2024-04-27,Fulham,1.0,1.0,,D
2024,35,2024-04-27,Everton,1.0,0.0,,H
2024,35,2024-04-27,,1.0,0.0,Brentford,H
2024,35,2024-04-27,,2.0,1.0,LutonTown,H
2024,35,2024-04-27,,1.0,1.0,Burnley,D
2024,35,2024-04-27,,5.0,1.0,SheffieldUnited,H
2024,29,2024-04-25,,0.0,4.0,ManchesterCity,A
2024,29,2024-04-25,BrightonandHoveAlbion,0.0,4.0,,A
2024,29,2024-04-24,,2.0,0.0,Liverpool,H
2024,29,2024-04-24,,2.0,0.0,NewcastleUnited,H
2024,29,2024-04-24,ManchesterUnited,4.0,2.0,,H
2024,29,2024-04-24,,0.0,1.0,Bournemouth,A
2024,29,2024-04-24,CrystalPalace,2.0,0.0,,H
2024,29,2024-04-24,WolverhamptonWanderers,0.0,1.0,,A
2024,29,2024-04-24,Everton,2.0,0.0,,H
2024,29,2024-04-24,,4.0,2.0,SheffieldUnited,H
2024,29,2024-04-23,Arsenal,5.0,0.0,,H
2024,29,2024-04-23,,5.0,0.0,Chelsea,H
2024,34,2024-04-21,,1.0,3.0,Liverpool,A
2024,34,2024-04-21,AstonVilla,3.0,1.0,,H
